Date,Value
7/13/15,119
7/14/15,105
7/15/15,66
7/16/15,100
7/17/15,65
7/18/15,76
7/19/15,68
7/20/15,105
7/21/15,79
7/22/15,58
7/23/15,43
7/24/15,53
7/25/15,NaN
7/26/15,NaN
7/27/15,NaN
7/28/15,58
7/29/15,99
7/30/15,67
7/31/15,73
8/1/15,56
8/2/15,45
8/3/15,58
8/4/15,44
8/5/15,41
8/6/15,79
8/7/15,96
8/8/15,47
8/9/15,50
8/10/15,61
8/11/15,64
8/12/15,79
8/13/15,123
8/14/15,106
8/15/15,52
8/16/15,96
8/17/15,33
8/18/15,57
8/19/15,45
8/20/15,54
8/21/15,143
8/22/15,124
8/23/15,138
8/24/15,116
8/25/15,89
8/26/15,105
8/27/15,94
8/28/15,102
8/29/15,69
8/30/15,162
8/31/15,139
9/1/15,109
9/2/15,114
9/3/15,65
9/4/15,50
9/5/15,66
9/6/15,45
9/7/15,53
9/8/15,53
9/9/15,30
9/10/15,22
9/11/15,52
9/12/15,64
9/13/15,69
9/14/15,104
9/15/15,131
9/16/15,87
9/17/15,53
9/18/15,57
9/19/15,85
9/20/15,80
9/21/15,86
9/22/15,74
9/23/15,87
9/24/15,42
9/25/15,66
9/26/15,86
9/27/15,51
9/28/15,52
9/29/15,59
9/30/15,98
10/1/15,50
10/2/15,76
10/3/15,145
10/4/15,30
10/5/15,88
10/6/15,190
10/7/15,176
10/8/15,177
10/9/15,59
10/10/15,85
10/11/15,93
10/12/15,147
10/13/15,149
10/14/15,144
10/15/15,183
10/16/15,196
10/17/15,157
10/18/15,92
10/19/15,148
10/20/15,160
10/21/15,170
10/22/15,138
10/23/15,79
10/24/15,101
10/25/15,92
10/26/15,80
10/27/15,49
10/28/15,71
10/29/15,50
10/30/15,51
10/31/15,37
11/1/15,61
11/2/15,100
11/3/15,114
11/4/15,119
11/5/15,108
11/6/15,140
11/7/15,61
11/8/15,58
11/9/15,108
11/10/15,83
11/11/15,57
11/12/15,41
11/13/15,59
11/14/15,92
11/15/15,66
11/16/15,70
11/17/15,75
11/18/15,78
11/19/15,94
11/20/15,131
11/21/15,111
11/22/15,109
11/23/15,124
11/24/15,34
11/25/15,58
11/26/15,117
11/27/15,77
11/28/15,105
11/29/15,107
11/30/15,96
12/1/15,117
12/2/15,114
12/3/15,102
12/4/15,58
12/5/15,90
12/6/15,137
12/7/15,132
12/8/15,128
12/9/15,129
12/10/15,234
12/11/15,122
12/12/15,68
12/13/15,60
12/14/15,87
12/15/15,62
12/16/15,96
12/17/15,167
12/18/15,124
12/19/15,115
12/20/15,96
12/21/15,139
12/22/15,144
12/23/15,164
12/24/15,146
12/25/15,151
12/26/15,198
12/27/15,278
12/28/15,242
12/29/15,371
12/30/15,399
12/31/15,302
1/1/16,240
1/2/16,227
1/3/16,172
1/4/16,248
1/5/16,222
1/6/16,221
1/7/16,111
1/8/16,160
1/9/16,140
1/10/16,91
1/11/16,88
1/12/16,69
1/13/16,88
1/14/16,94
1/15/16,92
1/16/16,91
1/17/16,120
1/18/16,161
1/19/16,188
1/20/16,128
1/21/16,65
1/22/16,78
1/23/16,47
1/24/16,73
1/25/16,80
1/26/16,91
1/27/16,102
1/28/16,141
1/29/16,147
1/30/16,175
1/31/16,117
