A fact sheet with definitions and metadata for this dataset can be found at http://www.stateair.net/web/historical/1/2.html.,,,,,,,,,,
The U.S. Department of State Data Use Statement at http://www.stateair.net/web/historical/1/2.html applies to these and all data available from the Mission China air quality monitoring program.,,,,,,,,,,
,,,,,,,,,,
Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Chengdu,PM2.5,1/5/2016 9:00,2016,1,5,9,191,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/5/2016 10:00,2016,1,5,10,194,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/5/2016 11:00,2016,1,5,11,215,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/5/2016 12:00,2016,1,5,12,222,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/5/2016 13:00,2016,1,5,13,184,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/5/2016 14:00,2016,1,5,14,175,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/5/2016 15:00,2016,1,5,15,164,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/5/2016 16:00,2016,1,5,16,177,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/5/2016 17:00,2016,1,5,17,172,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/5/2016 18:00,2016,1,5,18,165,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/5/2016 19:00,2016,1,5,19,157,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/5/2016 20:00,2016,1,5,20,156,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/5/2016 21:00,2016,1,5,21,150,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/5/2016 22:00,2016,1,5,22,150,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/5/2016 23:00,2016,1,5,23,141,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/6/2016 0:00,2016,1,6,0,139,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/6/2016 1:00,2016,1,6,1,152,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/6/2016 2:00,2016,1,6,2,135,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/6/2016 3:00,2016,1,6,3,130,µg/m³,1 Hr,Valid
